timestamp,open,high,low,close,volume,rv
2010-01-05T00:00:00.000000,3289.75,3295.28,3243.53,3243.76,12244630400.0,0.0012291222792966822
2010-01-06T00:00:00.000000,3255.07,3290.29,3221.54,3282.18,14191011900.0,0.001965759697803101
2010-01-07T00:00:00.000000,3274.52,3295.64,3253.14,3254.22,13463937000.0,0.0016107121478104148
2010-01-08T00:00:00.000000,3254.1,3268.77,3177.31,3192.78,14463622600.0,0.0019071682440501793
2010-01-09T00:00:00.000000,3177.26,3198.64,3149.23,3196.0,11420545500.0,0.002035673404356386
2010-01-12T00:00:00.000000,3301.31,3305.72,3197.5,3212.75,15743398400.0,0.0036135064262374063
2010-01-13T00:00:00.000000,3205.0,3274.63,3180.46,3273.97,15868077500.0,0.0018406065834177382
2010-01-14T00:00:00.000000,3204.34,3232.55,3165.75,3172.66,18329393500.0,0.003202813214156554
2010-01-15T00:00:00.000000,3183.38,3218.5,3165.78,3215.55,15152149800.0,0.0013780638937148932
2010-01-16T00:00:00.000000,3217.29,3241.56,3197.34,3224.15,13065227500.0,0.001416782818533614
2010-01-19T00:00:00.000000,3213.64,3238.2,3202.44,3237.1,14508432800.0,0.0010673865401701857
2010-01-20T00:00:00.000000,3243.72,3267.17,3237.85,3246.87,14439868900.0,0.0014582809019473997
2010-01-21T00:00:00.000000,3252.04,3254.89,3148.55,3151.85,17201357800.0,0.002096275046480807
2010-01-22T00:00:00.000000,3154.19,3175.47,3127.26,3158.86,13203106900.0,0.0021517195190543163
2010-01-23T00:00:00.000000,3116.93,3147.65,3063.09,3128.59,15558781900.0,0.0031779208767474033
2010-01-26T00:00:00.000000,3103.32,3136.79,3092.93,3094.41,9351392700.0,0.002017375660989122
2010-01-27T00:00:00.000000,3094.85,3106.8,3002.29,3019.39,10926543600.0,0.0024588446814495153
2010-01-28T00:00:00.000000,3026.9,3026.9,2973.94,2986.61,9283330700.0,0.0022798556342149582
2010-01-29T00:00:00.000000,2985.21,3005.96,2964.23,2994.14,8457057100.0,0.0018110717895410435
2010-01-30T00:00:00.000000,2978.28,3024.7,2968.45,2989.29,9088931000.0,0.0017816095322945181
2010-02-02T00:00:00.000000,2981.37,2981.37,2912.89,2941.36,10014983500.0,0.0021866877645488362
2010-02-03T00:00:00.000000,2955.75,2990.31,2930.7,2934.71,9328728200.0,0.0016964298997592508
2010-02-04T00:00:00.000000,2945.03,3005.13,2890.04,3003.84,11868451700.0,0.00283557065193403
2010-02-05T00:00:00.000000,2983.05,3015.09,2968.99,2995.31,11084531300.0,0.0019459226557139696
2010-02-06T00:00:00.000000,2934.7,2958.93,2918.91,2939.4,10668435900.0,0.0032521872406890214
2010-02-09T00:00:00.000000,2936.45,2954.0,2922.35,2935.17,6817830500.0,0.0015307680332371917
2010-02-10T00:00:00.000000,2932.09,2957.41,2929.31,2948.84,6872290000.0,0.0012673562392162719
2010-02-11T00:00:00.000000,2970.41,2983.18,2958.39,2982.5,6196492000.0,0.0012040404923352767
2010-02-12T00:00:00.000000,2985.08,3001.63,2976.08,2985.5,5664630500.0,0.0009272061572741169
