timestamp,open,high,low,close,volume,rv
2010-01-11T00:00:00.000000,13782.81,13782.81,13041.39,13267.44,1925459700.0,0.0019893583116564377
2010-01-18T00:00:00.000000,13606.23,13606.23,12937.84,13264.37,5595337200.0,0.002591248592022503
2010-01-25T00:00:00.000000,13209.69,13433.06,12397.03,12595.93,4551563900.0,0.0023443467328764533
2010-02-01T00:00:00.000000,12477.22,12639.44,11906.48,12137.2,3969019700.0,0.0025819128946955065
2010-02-08T00:00:00.000000,12111.89,12282.76,11718.72,11917.14,3645222600.0,0.0029341288359676795
2010-02-15T00:00:00.000000,11911.52,12327.05,11847.02,12304.78,2196756600.0,0.001435767485129161
2010-03-01T00:00:00.000000,12284.59,12526.41,11922.73,12436.66,2921688700.0,0.0017390321933433042
2010-03-08T00:00:00.000000,12490.74,12720.02,12268.56,12341.74,3574996800.0,0.0014987821980359678
2010-03-15T00:00:00.000000,12406.35,12567.81,12168.29,12169.11,2892115900.0,0.001476112621360556
2010-03-22T00:00:00.000000,12144.13,12361.15,11835.62,12352.92,2357247700.0,0.0014903168775977182
2010-03-29T00:00:00.000000,12367.52,12410.85,12030.94,12240.36,2324051900.0,0.0011981969978916037
2010-04-05T00:00:00.000000,12331.84,12793.71,12309.39,12767.86,3800689300.0,0.001225887179330497
2010-04-12T00:00:00.000000,12824.15,12849.71,12381.49,12555.12,2368940600.0,0.001338820142870498
2010-04-19T00:00:00.000000,12617.92,12625.23,12262.38,12416.86,4334862700.0,0.0017059569647562506
2010-04-26T00:00:00.000000,12206.58,12206.58,11395.74,11702.87,5009521300.0,0.002747636161397308
2010-05-03T00:00:00.000000,11737.79,11766.73,10976.57,11162.54,3546152500.0,0.0025587938126888816
2010-05-10T00:00:00.000000,10913.65,11137.32,10091.32,10146.42,3079889300.0,0.0035446286800119497
2010-05-17T00:00:00.000000,10249.88,10506.18,9910.46,10330.14,3315592800.0,0.0031518713061499263
2010-05-24T00:00:00.000000,10138.31,10214.33,9630.77,10209.07,3617252400.0,0.0035330067532638636
2010-05-31T00:00:00.000000,10334.85,10710.12,10200.31,10495.65,3852323800.0,0.0027632627489483034
2010-06-07T00:00:00.000000,10417.9,10551.08,9951.85,10187.2,2721113300.0,0.002659906735399243
2010-06-14T00:00:00.000000,9948.55,10358.59,9922.99,10239.33,2977884900.0,0.00248867100215786
2010-06-21T00:00:00.000000,10327.89,10327.89,9936.69,9966.54,987607800.0,0.0017459992066400792
2010-06-28T00:00:00.000000,9984.09,10405.18,9874.43,10104.83,2590073500.0,0.001986643652921734
2010-07-05T00:00:00.000000,10116.62,10165.29,8945.2,9227.89,2352795000.0,0.0024966570129425895
2010-07-12T00:00:00.000000,9064.96,9867.45,8983.69,9816.85,2725030100.0,0.0023625327974881503
2010-07-19T00:00:00.000000,9830.79,9998.93,9601.44,9806.64,3144279200.0,0.0022084566521623416
2010-07-26T00:00:00.000000,9702.99,10585.35,9702.41,10527.94,4289986400.0,0.0018863258838516014
2010-08-02T00:00:00.000000,10573.36,10898.42,10451.1,10785.35,3923794000.0,0.001742875355254513
2010-08-09T00:00:00.000000,10794.64,11091.18,10625.89,10942.93,4327473900.0,0.0020595232709586086
2010-08-16T00:00:00.000000,10913.32,11048.98,10614.34,10886.57,4122979800.0,0.002232637390016934
2010-08-23T00:00:00.000000,10843.93,11421.74,10832.49,11090.46,4788483600.0,0.0018401898972458086
2010-08-30T00:00:00.000000,11108.39,11310.95,10930.2,11034.73,3612671700.0,0.0019140184822699863
2010-09-06T00:00:00.000000,11154.63,11539.14,11100.5,11467.09,5513544400.0,0.002056144627650719
2010-09-13T00:00:00.000000,11597.69,11731.47,11303.87,11530.99,5956859400.0,0.001963061457424731
2010-09-20T00:00:00.000000,11542.2,11759.01,11061.7,11208.25,4250325300.0,0.001788133474937197
2010-09-27T00:00:00.000000,11233.8,11261.62,11073.15,11210.74,1084179400.0,0.002014478510987021
2010-10-04T00:00:00.000000,11294.53,11463.37,11126.86,11468.54,3044050300.0,0.0014958671839313965
