timestamp,open,high,low,close,volume,rv
2010-01-11T00:00:00.000000,3289.75,3295.64,3149.23,3196.0,65783747400.0,0.0017748579272940023
2010-01-18T00:00:00.000000,3301.31,3305.72,3165.75,3224.15,78158246700.0,0.0024742517019175026
2010-01-25T00:00:00.000000,3213.64,3267.17,3063.09,3128.59,74911548300.0,0.002116097553193871
2010-02-01T00:00:00.000000,3103.32,3136.79,2964.23,2989.29,47107255100.0,0.0020865079434471195
2010-02-08T00:00:00.000000,2981.37,3015.09,2890.04,2939.4,52965130600.0,0.0024520715950826447
2010-02-15T00:00:00.000000,2936.45,3018.79,2922.35,3018.13,31601028700.0,0.0011802744008634286
2010-03-01T00:00:00.000000,3016.7,3067.38,2938.75,3051.94,50135732400.0,0.001439061857759408
2010-03-08T00:00:00.000000,3057.01,3102.24,3011.09,3031.07,59016773500.0,0.001201735517940292
2010-03-15T00:00:00.000000,3036.41,3085.99,3012.27,3013.41,43962196700.0,0.0013095363718056644
2010-03-22T00:00:00.000000,3010.8,3069.66,2963.49,3067.75,43314824400.0,0.0011474865730136527
2010-03-29T00:00:00.000000,3069.66,3083.35,3009.91,3059.72,50432043900.0,0.0011193052609698695
2010-04-05T00:00:00.000000,3075.71,3159.39,3071.69,3157.96,64675309600.0,0.001047569832045645
2010-04-12T00:00:00.000000,3170.61,3177.73,3110.36,3145.35,48521360300.0,0.0009911229251757948
2010-04-19T00:00:00.000000,3152.12,3181.66,3101.63,3130.3,63319881500.0,0.0015631612446317278
2010-04-26T00:00:00.000000,3093.87,3093.87,2942.11,2983.54,65437031200.0,0.0022028744733503104
2010-05-03T00:00:00.000000,2992.48,2996.22,2820.95,2870.61,52582197300.0,0.002167427447556071
2010-05-10T00:00:00.000000,2821.35,2862.18,2665.82,2688.38,41700640800.0,0.0030032978990076715
2010-05-17T00:00:00.000000,2690.86,2750.92,2604.52,2696.63,51417253600.0,0.002708000371681336
2010-05-24T00:00:00.000000,2663.88,2663.88,2481.97,2583.52,48219775200.0,0.003070526562671779
2010-05-31T00:00:00.000000,2596.32,2686.52,2583.84,2655.77,53909570400.0,0.002122798528868346
2010-06-07T00:00:00.000000,2647.87,2665.1,2521.06,2553.59,42079048000.0,0.002277445760725033
2010-06-14T00:00:00.000000,2508.33,2590.78,2491.65,2569.94,43330856800.0,0.0023045160565164664
2010-06-21T00:00:00.000000,2588.97,2594.75,2505.49,2513.22,14692215600.0,0.0016255672475244626
2010-06-28T00:00:00.000000,2517.29,2598.27,2504.31,2552.82,36264662800.0,0.001616259618159989
2010-07-05T00:00:00.000000,2550.65,2561.48,2319.84,2382.9,35763160000.0,0.002060957013161864
2010-07-12T00:00:00.000000,2358.76,2485.41,2335.87,2470.92,37692027200.0,0.0020281204626814973
2010-07-19T00:00:00.000000,2468.54,2500.72,2389.22,2424.27,45350758400.0,0.0018560708696838326
2010-07-26T00:00:00.000000,2399.58,2579.2,2392.62,2572.03,60650250400.0,0.0016108455611069548
2010-08-02T00:00:00.000000,2576.37,2656.36,2556.5,2637.5,61340328800.0,0.0014498047112789557
2010-08-09T00:00:00.000000,2635.81,2681.79,2590.12,2658.39,67410760000.0,0.0016266992195386341
2010-08-16T00:00:00.000000,2656.36,2675.89,2564.94,2606.7,58486560800.0,0.0016958951300639524
2010-08-23T00:00:00.000000,2603.79,2701.86,2597.39,2642.31,69992710400.0,0.0014442637159592883
2010-08-30T00:00:00.000000,2637.82,2666.96,2588.64,2610.74,51046019200.0,0.001484253603483236
2010-09-06T00:00:00.000000,2622.27,2662.88,2604.56,2655.39,66369069600.0,0.0014207316964545207
2010-09-13T00:00:00.000000,2667.2,2704.27,2628.98,2663.21,67495879200.0,0.0013236571265250446
2010-09-20T00:00:00.000000,2665.65,2703.71,2583.5,2598.69,61815892800.0,0.0012944672147836354
2010-09-27T00:00:00.000000,2601.48,2607.35,2573.65,2591.55,15144534400.0,0.0013923116455289521
